id,world_group,name,type,type_label,tribe
1001,L1,博麗霊夢,1,防御,"1,2,52,53,54,124,162,181"
1002,L1,霧雨魔理沙,5,攻击,"1,3,52,55,48,56,54,175,181"
1003,L1,レミリア・スカーレット,6,技巧,"5,17,4,57,42,52,59,45,54,122,159,181"
1004,L1,フランドール・スカーレット,8,破坏,"5,17,4,43,73,52,59,60,45,122,159,181"
1005,L1,十六夜咲夜,7,速攻,"1,41,58,52,59,54,181"
1006,L1,パチュリー・ノーレッジ,6,技巧,"5,3,57,25,52,59,60,56,181"
1007,L1,紅美鈴,5,攻击,"5,58,52,59,123,181"
1008,L1,小悪魔,4,干扰,"17,58,61,25,52,59,5,181"
1009,L1,八雲紫,1,防御,"5,62,26,57,63,52,54,159,179,181"
1010,L1,西行寺幽々子,5,攻击,"9,8,57,64,65,56,54,122,159,181"
1011,L1,魂魄妖夢,5,攻击,"1,10,8,27,66,58,64,65,67,54,181"
1012,L1,リリーホワイト,3,回复,"7,44,52,181"
1013,L1,八雲藍,5,攻击,"5,6,68,18,11,58,57,52,181"
1014,L1,橙,7,速攻,"5,6,68,19,11,58,52,69,181"
1015,L1,鈴仙・優曇華院・イナバ,4,干扰,"5,6,68,20,12,70,52,71,72,58,45,74,54,175,181"
1016,L1,綿月豊姫,5,攻击,"13,28,51,42,57,75,45,181"
1017,L1,綿月依姫,7,速攻,"13,28,51,43,57,75,67,2,45,14,15,181"
1018,L1,八意永琳,3,回复,"13,28,57,58,29,52,71,72,45,74,30,119,26,181"
1019,L1,蓬莱山輝夜,6,技巧,"13,57,51,29,52,71,72,45,60,159,160,181"
1020,L1,藤原妹紅,6,技巧,"1,29,52,71,36,159,181"
1021,L1,清蘭,4,干扰,"5,6,68,20,12,32,45,75,175,181"
1022,L1,鈴瑚,2,支援,"5,6,68,20,12,32,45,75,175,181"
1023,L1,レイセン,8,破坏,"5,6,68,20,12,45,75,58,181"
1024,L1,聖白蓮,1,防御,"3,33,76,34,57,52,77,123,124,181,42"
1025,L1,茨木華扇,6,技巧,"21,5,22,52,69,57,68,26,78,62,123,124,142,181"
1026,L1,本居小鈴,8,破坏,"1,52,79,25,23,175,181"
