sheet,character_id,name,yang_atk,yang_def,yin_atk,yin_def,speed,barrier_count,weak_text,resist_text,skill_rate,skill_text,skill_effects,boost_text,boost_effects
周擂台1,1001,博丽灵梦(1001),9240,4998,7140,9240,5040,7,月木金,水星,50.0,己方全体阴防上升5等级 (1回合),"[[1, 4, 2, 1, 5, 50]]",己方全体阳防上升2等级 (1回合),"[[1, 2, 2, 1, 2]]"
周擂台1,1002,雾雨魔理沙(1002),9240,4998,7140,9240,5040,7,日水土,木金,100.0,对敌方全体附加2枚结界异常「燃烧」 (1回合),"[[6, 1, 4, 1, 2, 100]]",无,[]
周擂台1,1003,蕾米莉亚·斯卡雷特(1003),9240,4998,7140,9240,5565,7,日火金,土星,50.0,己方全体阴攻上升5等级 (1回合),"[[1, 3, 2, 1, 5, 50]]",无,[]
周擂台1,1004,芙兰朵露·斯卡雷特(1004),9240,10290,7140,20328,5565,4,日水木,金星,100.0,对敌方全体附加2枚结界异常「毒雾」 (1回合),"[[6, 4, 4, 1, 2, 100]]",无,[]
周擂台1,1005,十六夜咲夜(1005),9240,4998,7140,9240,5565,7,火水星,日土,100.0,己方全体受到来自通常弹的伤害下降65% (1回合),"[[12, 1, 2, 1, 65, 100]]",无,[]
周擂台1,1006,帕秋莉·诺蕾姬(1006),9240,10290,7140,20328,5565,4,日土星,火木,100.0,己方全体受到来自镭射弹的伤害下降65% (1回合),"[[12, 2, 2, 1, 65, 100]]",无,[]
周擂台1,1007,红美铃(1007),9240,4998,7140,9240,5040,7,日木金,月水,50.0,己方全体会心命中上升5等级 (1回合),"[[1, 6, 2, 1, 5, 50], [1, 9, 2, 1, 5, 50]]",己方全体阳防上升2等级 (1回合),"[[1, 2, 2, 1, 2]]"
周擂台1,1008,小恶魔(1008),9240,4998,7140,9240,5565,7,日火水,月星,100.0,对敌方全体附加2枚结界异常「感电」 (1回合),"[[6, 3, 4, 1, 2, 100]]",无,[]
周擂台1,1009,八云紫(1009),9240,4998,7140,9240,3885,7,月木土,火星,30.0,己方全体结界回复2枚,"[[4, 0, 2, 1, 2, 30]]",己方全体阳防上升2等级 (1回合),"[[1, 2, 2, 1, 2]]"
周擂台1,1010,西行寺幽幽子(1010),9240,10290,7140,20328,3885,4,水土星,火金,100.0,对敌方全体附加2枚结界异常「冻结」 (1回合),"[[6, 2, 4, 1, 2, 100]]",无,[]
周擂台1,1011,魂魄妖梦(1011),9240,4998,7140,9240,3885,7,日火水,木土,50.0,对敌方全体附加2枚结界异常「毒雾」 (2回合),"[[6, 4, 4, 2, 2, 50]]",自身阴攻上升2等级 (1回合),"[[1, 3, 1, 1, 2]]"
周擂台1,1012,莉莉怀特(1012),9240,4998,7140,9240,3885,7,月木金,水星,100.0,己方全体受到来自体术弹的伤害下降65% (1回合),"[[12, 3, 2, 1, 65, 100]]",无,[]
周擂台1,1013,八云蓝(1013),9240,10290,7140,20328,3885,4,火水星,日土,100.0,己方全体受到来自斩击弹的伤害下降65% (1回合),"[[12, 4, 2, 1, 65, 100]]",无,[]
周擂台1,1014,橙(1014),9240,4998,7140,9240,3885,7,日火水,月木,100.0,对敌方全体附加2枚结界异常「黑暗」 (1回合),"[[6, 5, 4, 1, 2, 100]]",无,[]
周擂台1,1015,铃仙·优昙华院·因幡(1015),9240,4998,7140,9240,5040,7,木金星,火水,50.0,己方全体结界异常回复2枚,"[[13, 7, 2, 1, 50, 100]]",无,[]
周擂台1,1016,绵月丰姬(1016),9240,10290,7140,20328,5565,4,火木星,日土,100.0,对敌方全体附加2枚结界异常「燃烧」 (1回合),"[[6, 1, 4, 1, 2, 100]]",无,[]
周擂台1,1017,绵月依姬(1017),9240,4998,7140,9240,5565,7,金土星,火水,50.0,敌方全体阴防下降5等级 (1回合),"[[2, 4, 4, 1, 5, 50]]",无,[]
周擂台1,1018,八意永琳(1018),9240,4998,7140,9240,5040,7,火水星,日木,100.0,己方全体受到来自动能弹的伤害下降65% (1回合),"[[12, 5, 2, 1, 65, 100]]",无,[]
周擂台1,1019,蓬莱山辉夜(1019),9240,4998,7140,9240,5040,7,火土星,木金,50.0,敌方全体阴攻下降5等级 (1回合),"[[2, 3, 4, 1, 5, 50]]",自身阴攻上升2等级 (1回合),"[[1, 3, 1, 1, 2]]"
周擂台1,1020,藤原妹红(1020),9240,10290,7140,20328,3885,4,月水土,木星,100.0,己方全体受到来自流体弹的伤害下降65% (1回合),"[[12, 6, 2, 1, 65, 100]]",无,[]
周擂台1,1021,清兰(1021),9240,4998,7140,9240,5565,7,火金星,日水,100.0,对敌方全体附加2枚结界异常「毒雾」 (1回合),"[[6, 4, 4, 1, 2, 100]]",无,[]
周擂台1,1022,铃瑚(1022),9240,10290,7140,20328,3885,4,木金星,水土,100.0,对敌方全体附加2枚结界异常「感电」 (1回合),"[[6, 3, 4, 1, 2, 100]]",无,[]
周擂台1,1023,铃仙(1023),9240,4998,7140,9240,5565,7,金土星,日火,50.0,敌方全体会心命中下降5等级 (1回合),"[[2, 6, 4, 1, 5, 50], [2, 9, 4, 1, 5, 50]]",己方全体速度上升2等级 (1回合),"[[1, 5, 2, 1, 2]]"
周擂台1,1024,圣白莲(1024),9240,4998,7140,9240,5040,7,月火水,木星,100.0,己方全体受到来自能量弹的伤害下降65% (1回合),"[[12, 7, 2, 1, 65, 100]]",无,[]
周擂台1,1025,茨木华扇(1025),9240,4998,7140,9240,3885,7,月火水,土星,100.0,己方全体受到来自月属性的伤害下降50% (1回合),"[[13, 2, 2, 1, 50, 100]]",自身命中上升2等级 (1回合),"[[1, 6, 1, 1, 2]]"
周擂台1,1026,本居小铃(1026),9240,10290,7140,20328,5565,4,日木金,月水,100.0,己方全体受到来自御符弹的伤害下降65% (1回合),"[[12, 8, 2, 1, 65, 100]]",无,[]
周擂台1,1029,稗田阿求(1029),9240,4998,7140,9240,3885,7,火金星,日水,100.0,己方全体受到来自土属性的伤害下降50% (1回合),"[[13, 7, 2, 1, 50, 100]]",己方全体阴攻上升2等级 (1回合),"[[1, 3, 2, 1, 2]]"
周擂台1,1030,琪露诺(1030),9240,4998,7140,9240,5040,7,日水土,火金,100.0,对敌方全体附加2枚结界异常「冻结」 (1回合),"[[6, 2, 4, 1, 2, 100]]",无,[]
周擂台1,1031,大妖精(1031),9240,4998,7140,9240,5040,7,木金星,日水,30.0,己方全体体力回复15%,[],己方全体阳攻上升2等级 (1回合),"[[1, 1, 2, 1, 2]]"
周擂台1,1032,爱丽丝·玛格特罗伊德(1032),9240,10290,7140,20328,5565,4,火金星,日水,100.0,对敌方全体附加2枚结界异常「黑暗」 (1回合),"[[6, 5, 4, 1, 2, 100]]",无,[]
周擂台1,1033,桑妮·米尔克,9240,4998,7140,9240,3885,7,月水土,木星,100.0,己方全体受到来自光弹的伤害下降65% (1回合),"[[12, 9, 2, 1, 65, 100]]",无,[]
周擂台1,1034,露娜切露德(1034),9240,10290,7140,20328,5565,4,水土星,日金,100.0,己方全体受到来自尖弹的伤害下降65% (1回合),"[[12, 10, 2, 1, 65, 100]]",无,[]
周擂台1,1035,斯塔萨菲雅(1035),9240,4998,7140,9240,5040,7,日木金,月水,50.0,己方全体阳防上升5等级 (1回合),"[[1, 2, 2, 1, 5, 50]]",自身阳攻上升2等级 (1回合),"[[1, 1, 1, 1, 2]]"
周擂台1,1036,梅蒂欣·梅兰可莉(1036),9240,4998,7140,9240,5565,7,月金土,木星,100.0,对敌方全体附加2枚结界异常「燃烧」 (1回合),"[[6, 1, 4, 1, 2, 100]]",无,[]
周擂台1,1037,东风谷早苗(1037),9240,4998,7140,9240,5040,7,日火金,水木,50.0,己方全体阳攻上升5等级 (1回合),"[[1, 1, 2, 1, 5, 50]]",无,[]
周擂台1,1038,八坂神奈子(1038),9240,10290,7140,20328,3885,4,月火水,土星,100.0,对敌方全体附加2枚结界异常「毒雾」 (1回合),"[[6, 4, 4, 1, 2, 100]]",无,[]
周擂台1,1039,泄矢诹访子,9240,4998,7140,9240,5565,7,水木星,火金,50.0,己方全体会心攻击上升5等级 (1回合),"[[1, 8, 2, 1, 5, 50]]",自身阴攻上升2等级 (1回合),"[[1, 3, 1, 1, 2]]"
周擂台1,1040,河城荷取(1040),9240,4998,7140,9240,5040,7,木土星,日金,100.0,己方全体受到来自追踪弹的伤害下降65% (1回合),"[[12, 11, 2, 1, 65, 100]]",无,[]
周擂台1,1042,因幡帝(1042),9240,4998,7140,9240,3885,7,日金土,月火,30.0,己方全体结界回复2枚,"[[4, 0, 2, 1, 2, 30]]",无,[]
周擂台1,1043,宇佐见堇子(1043),9240,10290,7140,20328,3885,4,日火水,月木,100.0,己方全体受到来自通常弹的伤害下降65% (1回合),"[[12, 1, 2, 1, 65, 100]]",无,[]
周擂台1,1044,射命丸文(1044),9240,4998,7140,9240,3885,7,金土星,日木,50.0,对敌方全体附加2枚结界异常「冻结」 (2回合),"[[6, 2, 4, 2, 2, 50]]",己方全体回避上升2等级 (1回合),"[[1, 7, 2, 1, 2]]"
周擂台1,1045,姬海棠果(1045),9240,4998,7140,9240,5565,7,日火金,水木,100.0,对敌方全体附加2枚结界异常「感电」 (1回合),"[[6, 3, 4, 1, 2, 100]]",无,[]
周擂台1,1046,犬走椛(1046),9240,4998,7140,9240,5040,7,月木金,水星,50.0,己方全体结界异常回复2枚,[],自身仇恨值上升2等级 (1回合),[]
周擂台1,1047,坂田合欢(1047),9240,10290,7140,20328,5565,4,日水土,月木,100.0,对敌方全体附加2枚结界异常「冻结」 (1回合),"[[6, 2, 4, 1, 2, 100]]",无,[]
周擂台1,1048,伊吹萃香(1048),9240,4998,7140,9240,5565,7,月火星,日土,50.0,敌方全体阳防下降5等级 (1回合),"[[2, 2, 4, 1, 5, 50]]",无,[]
周擂台1,1049,星熊勇仪(1049),9240,4998,7140,9240,5565,7,日火木,月土,100.0,己方全体受到来自镭射弹的伤害下降65% (1回合),"[[12, 2, 2, 1, 65, 100]]",无,[]
周擂台1,1050,古明地觉(1050),9240,4998,7140,9240,3885,7,日火金,月土,50.0,敌方全体阳攻下降5等级 (1回合),"[[2, 1, 4, 1, 5, 50]]",无,[]
周擂台1,1051,古明地恋(1051),9240,10290,7140,20328,5040,4,日水木,月火,100.0,己方全体受到来自体术弹的伤害下降65% (1回合),"[[12, 3, 2, 1, 65, 100]]",无,[]
周擂台1,1054,小野塚小町(1054),9240,4998,7140,9240,5565,7,日木土,月金,50.0,敌方全体会心回避下降5等级 (1回合),"[[2, 7, 4, 1, 5, 50]]",自身命中上升2等级 (1回合),"[[1, 6, 1, 1, 2]]"
周擂台1,1056,赫卡提亚·拉碧斯拉祖利(1056),9240,4998,7140,9240,5565,7,日月木,金土,100.0,对敌方全体附加2枚结界异常「黑暗」 (1回合),"[[6, 5, 4, 1, 2, 100]]",无,[]
周擂台1,1057,纯狐(1057),9240,10290,7140,20328,3885,4,月水金,火木,100.0,对敌方全体附加2枚结界异常「燃烧」 (1回合),"[[6, 1, 4, 1, 2, 100]]",无,[]
周擂台1,1058,克劳恩皮丝(1058),9240,4998,7140,9240,5565,7,日火水,月木,100.0,己方全体受到来自斩击弹的伤害下降65% (1回合),"[[12, 4, 2, 1, 65, 100]]",无,[]
周擂台1,1059,秋静叶(1059),9240,4998,7140,9240,5565,7,月火星,日土,100.0,己方全体受到来自火属性的伤害下降50% (1回合),"[[13, 3, 2, 1, 50, 100]]",无,[]
周擂台1,1060,秋穰子(1060),9240,10290,7140,20328,5565,4,日火水,木土,100.0,己方全体受到来自动能弹的伤害下降65% (1回合),"[[12, 5, 2, 1, 65, 100]]",无,[]
周擂台1,1061,键山雏(1061),9240,4998,7140,9240,5565,7,月水星,木土,100.0,己方全体受到来自金属性的伤害下降50% (1回合),"[[13, 6, 2, 1, 50, 100]]",无,[]
周擂台1,1062,露娜萨·普莉兹姆利巴(1062),9240,4998,7140,9240,5040,7,月金星,日土,100.0,对敌方全体附加2枚结界异常「毒雾」 (1回合),"[[6, 4, 4, 1, 2, 100]]",无,[]
周擂台1,1063,梅露兰·普莉兹姆利巴(1063),9240,4998,7140,9240,3885,7,月火水,土星,30.0,己方全体体力回复15%,[],无,[]
周擂台1,1064,莉莉卡·普莉兹姆利巴(1064),9240,10290,7140,20328,5040,4,日木土,月火,100.0,对敌方全体附加2枚结界异常「感电」 (1回合),"[[6, 3, 4, 1, 2, 100]]",无,[]
周擂台1,1065,依神女苑(1065),9240,4998,7140,9240,3885,7,日水金,月木,50.0,己方全体阴防上升5等级 (1回合),"[[1, 4, 2, 1, 5, 50]]",自身回避上升2等级 (1回合),"[[1, 7, 1, 1, 2]]"
周擂台1,1066,依神紫苑(1066),9240,4998,7140,9240,5565,7,火金星,日水,100.0,己方全体受到来自流体弹的伤害下降65% (1回合),"[[12, 6, 2, 1, 65, 100]]",无,[]
周擂台1,1067,九十九弁弁(1067),9240,4998,7140,9240,5565,7,月金星,日土,50.0,己方全体阴攻上升5等级 (1回合),"[[1, 3, 2, 1, 5, 50]]",无,[]
周擂台1,1068,九十九八桥(1068),9240,10290,7140,20328,3885,4,日火金,月水,100.0,己方全体受到来自能量弹的伤害下降65% (1回合),"[[12, 7, 2, 1, 65, 100]]",无,[]
周擂台1,1069,摩多罗隐岐奈(1069),9240,4998,7140,9240,3885,7,日木土,月火,50.0,己方全体会心防御上升5等级 (1回合),[],无,[]
周擂台1,1072,上白泽慧音(1072),9240,4998,7140,9240,3885,7,月水木,火金,100.0,对敌方全体附加2枚结界异常「冻结」 (1回合),"[[6, 2, 4, 1, 2, 100]]",无,[]
周擂台1,1073,露米娅(1073),9240,4998,7140,9240,5565,7,月土星,日金,30.0,己方全体结界回复2枚,"[[4, 0, 2, 1, 2, 30]]",无,[]
周擂台1,1074,寅丸星(1074),9240,10290,7140,20328,3885,4,月火木,土星,100.0,对敌方全体附加2枚结界异常「黑暗」 (1回合),"[[6, 5, 4, 1, 2, 100]]",无,[]
周擂台1,1075,村纱水蜜(1075),9240,4998,7140,9240,3885,7,月火土,金星,50.0,对敌方全体附加2枚结界异常「感电」 (2回合),"[[6, 3, 4, 2, 2, 50]]",无,[]
周擂台1,1076,多多良小伞(1076),9240,4998,7140,9240,5565,7,月木土,金星,100.0,己方全体受到来自御符弹的伤害下降65% (1回合),"[[12, 8, 2, 1, 65, 100]]",无,[]
周擂台1,1080,哆来咪·苏伊特(1080),9240,4998,7140,9240,5565,7,日木土,月火,50.0,敌方全体阴防下降5等级 (1回合),"[[2, 4, 4, 1, 5, 50]]",自身阴攻上升2等级 (1回合),"[[1, 3, 1, 1, 2]]"
周擂台1,1081,稀神探女(1081),9240,10290,7140,20328,5040,4,月木星,火金,100.0,己方全体受到来自光弹的伤害下降65% (1回合),"[[12, 9, 2, 1, 65, 100]]",无,[]
周擂台1,1082,二岩猯藏(1082),9240,4998,7140,9240,5565,7,月木星,火土,50.0,敌方全体阴攻下降5等级 (1回合),"[[2, 3, 4, 1, 5, 50]]",己方全体回避上升2等级 (1回合),"[[1, 7, 2, 1, 2]]"
周擂台1,1083,高丽野阿吽(1083),9240,4998,7140,9240,3885,7,月木金,火土,100.0,对敌方全体附加2枚结界异常「燃烧」 (1回合),"[[6, 1, 4, 1, 2, 100]]",无,[]
