kind,sub_id,value,name,description
1,1,80,【敌方】大家体力上升,敌方单位的最大体力上升80% (永久)
1,2,500,【敌方】大家速度上升,敌方单位的速度上升500% (永久)
1,3,500,【敌方】大家阳攻上升,敌方单位的阳攻上升500% (永久)
1,4,500,【敌方】大家阳防上升,敌方单位的阳防上升500% (永久)
1,5,500,【敌方】大家阴攻上升,敌方单位的阴攻上升500% (永久)
1,6,500,【敌方】大家阴防上升,敌方单位的阴防上升500% (永久)
1,7,500,【敌方】大家命中上升,敌方单位的全攻击的命中率上升500% (永久)
1,8,500,【敌方】大家回避上升,敌方单位的全攻击的回避率上升500% (永久)
2,0,-80,【敌方】种族特攻受伤倍率轻减,敌方的种族特攻受伤倍率下降80% (永久)
3,0,-2,【己方】结界最大数减少,己方的结界的最大数减少2枚 (永久)
1,8,80,【敌方】大家基础回避率上升,敌方的基础回避率上升80% (永久)
4,1,-30,【己方】防御式弱化,己方的防御式单位的综合强度下降30% (永久)
4,2,-30,【己方】支援式弱化,己方的支援式单位的综合强度下降30% (永久)
4,3,-30,【己方】回复式弱化,己方的回复式单位的综合强度下降30% (永久)
4,4,-30,【己方】干扰式弱化,己方的干扰式单位的综合强度下降30% (永久)
4,5,-30,【己方】攻击式弱化,己方的攻击式单位的综合强度下降30% (永久)
4,6,-30,【己方】技巧式弱化,己方的技巧式单位的综合强度下降30% (永久)
4,7,-30,【己方】速攻式弱化,己方的速攻式单位的综合强度下降30% (永久)
4,8,-30,【己方】破坏式弱化,己方的破坏式单位的综合强度下降30% (永久)
5,0,1,【己方】击破回数制限,每个单位，每回合只能击破结界1次(永久)
7,1,0,【己方】日属性无法击破,己方日属性无法击破 (永久)
7,2,0,【己方】月属性无法击破,己方月属性无法击破 (永久)
7,3,0,【己方】火属性无法击破,己方火属性无法击破 (永久)
7,4,0,【己方】水属性无法击破,己方水属性无法击破 (永久)
7,5,0,【己方】木属性无法击破,己方木属性无法击破 (永久)
7,6,0,【己方】金属性无法击破,己方金属性无法击破 (永久)
7,7,0,【己方】土属性无法击破,己方土属性无法击破 (永久)
7,8,0,【己方】星属性无法击破,己方星属性无法击破 (永久)
8,1,0,【己方】无法击破结界异常(燃烧),己方无法击破结界异常(燃烧) (永久)
8,2,0,【己方】无法击破结界异常(冻结),己方无法击破结界异常(冻结) (永久)
8,3,0,【己方】无法击破结界异常(感电),己方无法击破结界异常(感电) (永久)
8,4,0,【己方】无法击破结界异常(毒雾),己方无法击破结界异常(毒雾) (永久)
8,5,0,【己方】无法击破结界异常(黑暗),己方无法击破结界异常(黑暗) (永久)
9,1,-80,【己方】日属性子弹威力下降,己方的日属性子弹伤害下降80% (永久)
9,2,-80,【己方】月属性子弹威力下降,己方的月属性子弹伤害下降80% (永久)
9,3,-80,【己方】火属性子弹威力下降,己方的火属性子弹伤害下降80% (永久)
9,4,-80,【己方】水属性子弹威力下降,己方的水属性子弹伤害下降80% (永久)
9,5,-80,【己方】木属性子弹威力下降,己方的木属性子弹伤害下降80% (永久)
9,6,-80,【己方】金属性子弹威力下降,己方的金属性子弹伤害下降80% (永久)
9,7,-80,【己方】土属性子弹威力下降,己方的土属性子弹伤害下降80% (永久)
9,8,-80,【己方】星属性子弹威力下降,己方的星属性子弹伤害下降80% (永久)
10,1,-80,【己方】通常弹威力下降,己方的通常弹伤害下降80% (永久)
10,2,-80,【己方】镭射弹威力下降,己方的镭射弹伤害下降80% (永久)
10,3,-80,【己方】体术弹威力下降,己方的体术弹伤害下降80% (永久)
10,4,-80,【己方】斩击弹威力下降,己方的斩击弹伤害下降80% (永久)
10,5,-80,【己方】动能弹威力下降,己方的动能弹伤害下降80% (永久)
10,6,-80,【己方】流体弹威力下降,己方的流体弹伤害下降80% (永久)
10,7,-80,【己方】能量弹威力下降,己方的能量弹伤害下降80% (永久)
10,8,-80,【己方】御符弹威力下降,己方的御符弹伤害下降80% (永久)
10,9,-80,【己方】光弹威力下降,己方的光弹伤害下降80% (永久)
10,10,-80,【己方】尖头弹威力下降,己方的尖头弹伤害下降80% (永久)
10,11,-80,【己方】追踪弹威力下降,己方的追踪弹伤害下降80% (永久)
11,0,-50,【己方】升格上升状态弱化,己方关乎升格上升状态增益的效果量下降50% (永久)
12,0,-50,【己方】灵力回收效率下降,己方的灵力回收效率下降100% (永久)
13,0,-50,【己方】灵力增加效果量下降,己方的所有灵力增加效果下降50% (永久)
14,1,0,【己方】能力封印,己方的能力无法发动 (永久)
14,2,0,【己方】特性封印,己方的特性无法发动 (永久)
16,0,0,【己方】仇恨值无效,己方的仇恨值不会变动 (永久)
9,1,80,【敌方】日属性子弹威力上升,敌方的日属性子弹伤害上升80% (永久)
9,2,80,【敌方】月属性子弹威力上升,敌方的月属性子弹伤害上升80% (永久)
9,3,80,【敌方】火属性子弹威力上升,敌方的火属性子弹伤害上升80% (永久)
9,4,80,【敌方】水属性子弹威力上升,敌方的水属性子弹伤害上升80% (永久)
9,5,80,【敌方】木属性子弹威力上升,敌方的木属性子弹伤害上升80% (永久)
9,6,80,【敌方】金属性子弹威力上升,敌方的金属性子弹伤害上升80% (永久)
9,7,80,【敌方】土属性子弹威力上升,敌方的土属性子弹伤害上升80% (永久)
9,8,80,【敌方】星属性子弹威力上升,敌方的星属性子弹伤害上升80% (永久)
17,1,0,【己方】子弹效果封印(必中),己方的子弹追加效果，必中无法发动 (永久)
17,2,0,【己方】子弹效果封印(贯通),己方的子弹追加效果，贯通无法发动 (永久)
17,3,0,【己方】子弹效果封印(镜面),己方的子弹追加效果，镜面无法发动 (永久)
17,4,0,【己方】子弹效果封印(硬质),己方的子弹追加效果，硬质无法发动 (永久)
17,5,0,【己方】子弹效果封印(斩裂),己方的子弹追加效果，斩裂无法发动 (永久)
17,6,0,【己方】子弹效果封印(速射),己方的子弹追加效果，速射无法发动 (永久)
17,7,0,【己方】子弹效果封印(爆破),己方的子弹追加效果，爆破无法发动 (永久)
17,8,0,【己方】子弹效果封印(弹性),己方的子弹追加效果，弹性无法发动 (永久)
17,9,0,【己方】子弹效果封印(精密),己方的子弹追加效果，精密无法发动 (永久)
17,10,0,【己方】子弹效果封印(反冲),己方的子弹追加效果，反冲无法发动 (永久)
17,11,0,【己方】子弹效果封印(吸收),己方的子弹追加效果，吸收无法发动 (永久)
17,12,0,【己方】子弹效果封印(烧却),己方的子弹追加效果，烧却无法发动 (永久)
17,13,0,【己方】子弹效果封印(冰解),己方的子弹追加效果，冰解无法发动 (永久)
17,14,0,【己方】子弹效果封印(放电),己方的子弹追加效果，放电无法发动 (永久)
17,15,0,【己方】子弹效果封印(过毒),己方的子弹追加效果，过毒无法发动 (永久)
17,16,0,【己方】子弹效果封印(闪光),己方的子弹追加效果，闪光无法发动 (永久)
1,1,5,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
10,1,-95,【己方侧】通常弹威力下降,己方全体通常弹的伤害下降95% (永久)
1,8,10,【敌方侧】大家回避上升,敌方全体回避率上升10% (永久)
10,3,-95,【己方侧】体术弹威力下降,己方全体体术弹的伤害下降95% (永久)
10,7,-95,【己方侧】能量弹威力下降,己方全体能量弹的伤害下降95% (永久)
10,9,-95,【己方侧】光弹威力下降,己方全体光弹的伤害下降95% (永久)
10,10,-95,【己方侧】尖头弹威力下降,己方全体尖头弹的伤害下降95% (永久)
10,11,-95,【己方侧】追踪弹威力下降,己方全体追踪弹的伤害下降95% (永久)
4,5,-65,【己方侧】攻击式弱化,己方全体攻击式综合强度下降65% (永久)
4,1,-65,【己方侧】防御式弱化,己方全体防御式综合强度下降65% (永久)
4,2,-65,【己方侧】支援式弱化,己方全体支援式综合强度下降65% (永久)
12,0,-80,【己方侧】灵力回收效率下降,己方全体灵力回收效率下降80% (永久)
1,6,10,【敌方侧】大家阴防上升,敌方全体阴防上升10% (永久)
1,4,10,【敌方侧】大家阳防上升,敌方全体阳防上升10% (永久)
4,6,-65,【己方侧】技巧式弱化,己方全体技巧式综合强度下降65% (永久)
1,5,10,【敌方侧】大家阴攻上升,敌方全体阴攻上升10% (永久)
4,3,-65,【己方侧】回复式弱化,己方全体回复式综合强度下降65% (永久)
1,3,10,【敌方侧】大家阳攻上升,敌方全体阳攻上升10% (永久)
1,8,20,【敌方侧】大家回避上升,敌方全体回避率上升20% (永久)
1,1,10,【敌方侧】大家最大体力上升,敌方全体最大体力上升10% (永久)
10,8,-95,【己方侧】御符弹威力下降,己方全体御符弹的伤害下降95% (永久)
10,5,-95,【己方侧】动能弹威力下降,己方全体动能弹的伤害下降95% (永久)
2,0,-30,【敌方侧】种族特攻受伤倍率轻减,敌方全体对种族特攻受伤倍率轻减下降30% (永久)
13,0,-30,【己方侧】灵力上升效果下降,己方全体绘卷/技能/符卡效果/换位连携/特性的灵力上升效果下降30% (永久)
12,0,-30,【己方侧】灵力回收效率下降,己方全体灵力回收效率下降30% (永久)
1,5,5,【敌方侧】大家阴攻上升,敌方全体阴攻上升5% (永久)
1,6,5,【敌方侧】大家阴防上升,敌方全体阴防上升5% (永久)
1,4,15,【敌方侧】大家阳防上升,敌方全体阳防上升15% (永久)
4,8,-65,【己方侧】破坏式弱化,己方全体破坏式综合强度下降65% (永久)
4,4,-65,【己方侧】干扰式弱化,己方全体干扰式综合强度下降65% (永久)
4,7,-65,【己方侧】速攻式弱化,己方全体速攻式综合强度下降65% (永久)
1,8,30,【敌方侧】大家回避上升,敌方全体回避率上升30% (永久)
1,7,20,【敌方侧】大家命中上升,敌方全体命中率上升20% (永久)
1,5,20,【敌方侧】大家阴攻上升,敌方全体阴攻上升20% (永久)
1,3,20,【敌方侧】大家阳攻上升,敌方全体阳攻上升20% (永久)
1,8,60,【敌方侧】大家回避上升,敌方全体回避率上升60% (永久)
10,4,-95,【己方侧】斩击弹威力下降,己方全体斩击弹造成的伤害下降95% (永久)
2,0,-50,【敌方侧】种族特攻受伤倍率轻减,敌方全体的种族特攻受伤害倍率下降50% (永久)
1,4,5,【敌方侧】大家阳防上升,敌方全体阳防上升5% (永久)
1,1,8,【敌方侧】大家最大体力上升,敌方全体最大体力上升8% (永久)
10,6,-95,【己方侧】流体弹威力下降,己方全体流体弹造成的伤害下降95% (永久)
4,3,-35,【己方侧】回复式弱化,己方全体回复式的综合强度下降35% (永久)
4,2,-35,【己方侧】支援式弱化,己方全体支援式的综合强度下降35% (永久)
4,7,-35,【己方侧】速攻式弱化,己方全体速攻式的综合强度下降35% (永久)
1,5,6,【敌方】大家阴攻上升,敌方全体的阴攻上升6% (永久)
1,1,6,【敌方】大家最大体力上升,敌方全体的最大体力上升6% (永久)
1,4,60,【敌方】大家阳防上升,敌方全体的阳防上升60% (永久)
1,6,35,【敌方侧】大家阴防上升,敌方全体阴防上升35% (永久)
10,2,-95,【己方侧】镭射弹威力下降,己方全体镭射弹造成的伤害下降95% (永久)
9,2,10,【敌方侧】月属性攻击威力上升,敌方全体月属性攻击造成的伤害上升10% (永久)
1,1,30,【敌方侧】大家最大体力上升,敌方全体最大体力上升30% (永久)
4,1,-35,【己方侧】防御式弱化,己方全体防御式的综合强度下降35% (永久)
4,4,-35,【己方侧】干扰式弱化,己方全体干扰式的综合强度下降35% (永久)
4,5,-35,【己方侧】攻击式弱化,己方全体攻击式的综合强度下降35% (永久)
3,0,-3,【己方侧】结界最大数减少,己方全体结界的最大持有枚数减少3枚 (永久)
3,0,-1,【己方侧】结界最大数減少,己方全体结界最大持有枚数减少1枚 (永久)
9,2,25,【敌方侧】月属性攻击威力上升,敌方全体月属性攻击造成的伤害上升25% (永久)
1,1,15,【敌方侧】大家最大体力上升,敌方全体最大体力上升15% (永久)
1,3,4,【敌方侧】大家阳攻上升,敌方全体阳攻上升4% (永久)
1,5,8,【敌方侧】大家阴攻上升,敌方全体阴攻上升8% (永久)
1,4,25,【敌方侧】大家阳防上升,敌方全体阳防上升25% (永久)
4,8,-35,【己方侧】破坏式弱化,己方全体破坏式的综合强度下降35% (永久)
1,1,35,【敌方侧】大家最大体力上升,敌方全体最大体力上升35% (永久)
1,7,30,【敌方侧】大家命中上升,敌方全体命中率上升30% (永久)
1,5,15,【敌方侧】大家阴攻上升,敌方全体阴攻上升15% (永久)
1,3,15,【敌方侧】大家阳攻上升,敌方全体阳攻上升15% (永久)
2,0,-20,【敌方侧】种族特攻受伤倍率轻减,敌方全体的种族特攻受伤倍率下降20% (永久)
13,0,-25,【己方侧】灵力上升效果下降,己方全体绘卷/技能/符卡效果/换位连携/特性的灵力上升的效果量下降25% (永久)
12,0,-25,【己方侧】灵力回收效率下降,己方全体灵力回收效率下降25% (永久)
9,2,30,【敌方侧】月属性攻击威力上升,敌方全体月属性攻击造成的伤害上升30% (永久)
1,6,15,【敌方侧】大家阴防上升,敌方全体阴防上升15% (永久)
1,7,50,【敌方侧】大家命中上升,敌方全体命中率上升50% (永久)
9,1,30,【敌方侧】日属性攻击威力上升,敌方全体日属性子弹造成的伤害上升30% (永久)
9,8,30,【敌方侧】星属性攻击威力上升,敌方全体星属性子弹造成的伤害上升30% (永久)
1,4,20,【敌方侧】大家阳防上升,敌方全体阳防上升20% (永久)
1,8,50,【敌方侧】大家回避上升,敌方全体回避率上升50% (永久)
9,4,50,【敌方侧】水属性攻击威力上升,敌方全体水属性攻击造成的伤害上升50% (永久)
1,6,20,【敌方侧】大家阴防上升,敌方全体阴防上升20% (永久)
13,0,-40,【己方侧】灵力上升效果下降,己方全体绘卷/技能/符卡效果/换位连携/特性的灵力上升效果量下降40% (永久)
1,8,40,【敌方侧】大家回避上升,敌方全体回避率上升40% (永久)
2,0,-40,【敌方侧】种族特攻的受伤倍率轻减,敌方全体的种族特攻受伤倍率下降40% (永久)
12,0,-40,【己方侧】灵力回收效率下降,己方全体灵力回收效率下降40% (永久)
1,7,40,【敌方侧】大家命中上升,敌方全体命中率上升40% (永久)
1,6,40,【敌方侧】大家阴防上升,敌方全体阴防上升40% (永久)
1,6,30,【敌方侧】大家阴防上升,敌方全体阴防上升30% (永久)
1,4,40,【敌方侧】大家阳防上升,敌方全体阳防上升40% (永久)
2,0,-70,【敌方侧】种族特攻的受伤倍率轻减,敌方全体受到的种族特攻的伤害倍率下降70% (永久)
1,4,30,【敌方侧】大家阳防上升,敌方全体阳防上升30% (永久)
1,5,30,【敌方侧】大家阴攻上升,敌方全体阴攻上升30% (永久)
1,1,20,【敌方侧】大家最大体力上升,敌方全体最大体力上升20% (永久)
4,5,-40,【己方侧】攻击式弱化,己方全体攻击式综合强度下降40% (永久)
4,1,-40,【己方侧】防御式弱化,己方全体防御式综合强度下降40% (永久)
4,2,-40,【己方侧】支援式弱化,己方全体支援式综合强度下降40% (永久)
4,4,-40,【己方侧】干扰式弱化,己方全体干扰式综合强度下降40% (永久)
