ID,tribe_name,count
1,人类,69
2,巫女,31
3,魔法使,34
4,吸血鬼,19
5,妖怪,197
6,妖兽,61
7,妖精,23
8,灵魂,45
9,亡灵,13
10,幽灵,15
11,式神,8
12,玉兔,17
13,月之民,12
14,神格,95
15,神灵,33
16,八百万神,26
17,恶魔,27
18,狐,4
19,猫,5
20,兔,20
21,仙人,20
22,鬼,17
23,付丧神,18
24,河童,7
25,爱书家,34
26,贤者,15
27,半人半灵,10
28,月之使者,6
29,蓬莱人,13
30,药师,4
31,依代,0
32,天鹰神兔,6
33,僧侣,8
34,魔人,12
35,超能力,4
36,人偶,23
37,现人神,10
38,风祝,11
39,工程师,18
40,阿礼少女,3
41,女仆,13
42,姐姐,41
43,妹妹,35
44,春,16
45,月之关联者,62
46,冰,8
47,太阳关联者,5
48,星之关联者,18
49,花,16
50,毒,4
51,姬,16
52,幻想乡,283
53,博丽神社,22
54,异变解决者,57
55,魔法之森,25
56,收集家,37
57,主人,102
58,从者,97
59,红魔馆,46
60,室内派,35
61,使魔,4
62,幻想乡的贤者,9
63,大妖怪,7
64,冥界,15
65,白玉楼,16
66,半妖,13
67,剑士,40
68,野兽,68
69,妖怪之山,73
70,地上兔,6
71,迷途竹林,17
72,永远亭,11
73,魔法少女,12
74,药品,13
75,月之都,16
76,超人,5
77,命莲寺,18
78,四天王,8
79,人类村庄,12
80,学生,1
81,外界,5
82,秘封俱乐部,2
83,冷却,8
84,雾之湖,16
85,光,10
86,光之三妖精,5
87,无名之丘,2
88,守矢神社,26
89,蛙,7
90,水栖,13
91,玄武之泽,7
92,天狗,10
93,喧闹灵,9
94,鸦天狗,8
95,平行存在,140
96,神性,2
97,秋,13
98,觉,16
99,地底,45
100,旧地狱,30
101,地灵殿,22
102,音乐家,24
103,疫病神,2
104,贫穷神,3
105,不吉,7
106,半白泽,3
107,半人半兽,4
108,教师,3
109,山佬,2
110,狸,3
111,白狼天狗,2
112,暗,2
113,地狱,23
114,僵尸,6
115,死神,4
116,邪仙,4
117,神灵庙,13
118,月之仇敌,14
119,月之贤者,6
120,神兽,2
121,像,5
122,不死族,50
123,格斗家,22
124,宗教家,66
125,能乐,6
126,后户之国,8
127,天人,5
128,彼岸,10
129,三途川,8
130,太阳花田,6
131,夏,40
132,冬,11
133,獏,3
134,梦的世界,3
135,虎,3
136,天界,6
137,怨灵,2
138,圣人,8
139,尸解仙,8
140,虫,10
141,草根妖怪网络,5
142,鸟,27
143,狼女,1
144,狼女,1
145,小人,3
146,天邪鬼,3
147,雷,7
148,阎魔,3
149,道士,4
150,月面基地,10
151,月战型,8
152,机械,34
153,动物灵,5
154,畜生界,5
155,劲牙组,2
156,辉针城,5
157,龙之眷族,5
158,鬼杰组,2
159,高贵,70
160,财宝,26
161,帝都,10
162,阴阳玉,11
163,秘宝,0
164,武器,0
165,物体,0
166,鼠,2
167,无缘冢,1
168,灵长园,2
169,精灵,0
170,怪兽,9
171,魔界,4
172,虹龙洞,2
173,山童,2
174,秘天崖,2
175,商人,31
176,黑幕(LW),2
177,大天狗,1
178,泳装,30
179,间隙,6
180,伪天棚,1
181,基底类型,128
182,地下废弃区,15
183,龙,5
184,座敷童子,1
185,醉魔,1
186,徒劳者,14
187,刚欲同盟,2
188,赛车手,4
189,螺旋类型,4
190,消失类型,5
191,恶灵,2
192,灵魔殿,1
193,红魔塔,1
194,旧都,4
195,龙宫使者,1
196,学生服,6
197,猿,1
198,远点存在,33
199,蛇,1
200,鬼之国,1
201,梦幻馆,0
202,梦幻世界,2
203,极点存在,2
204,油库里,9
205,文化之祭典,4
206,装甲,2
207,妖精乡,2
208,超胜负服,1
209,新年弹幕,6
210,黄泉醜女,1
211,探险家,1
212,銃火器,6
213,言语大师,1
214,超油库里,1
215,LIVE(LW),4
216,凭依,1
217,母,2
218,UFO,0
219,鸟兽伎乐,2
220,护士,2
