id,world_group,name,tribe
1001,L1,博丽灵梦,"1,2,52,53,54,124,162,181"
1002,L1,雾雨魔理沙,"1,3,52,55,48,56,54,175,181"
1003,L1,蕾米莉亚·斯卡雷特,"5,17,4,57,42,52,59,45,54,122,159,181"
1004,L1,芙兰朵露·斯卡雷特,"5,17,4,43,73,52,59,60,45,122,159,181"
1005,L1,十六夜咲夜,"1,41,58,52,59,54,181"
1006,L1,帕秋莉·诺蕾姬,"5,3,57,25,52,59,60,56,181"
1007,L1,红美铃,"5,58,52,59,123,181"
1008,L1,小恶魔,"17,58,61,25,52,59,5,181"
1009,L1,八云紫,"5,62,26,57,63,52,54,159,179,181"
1010,L1,西行寺幽幽子,"9,8,57,64,65,56,54,122,159,181"
1011,L1,魂魄妖梦,"1,10,8,27,66,58,64,65,67,54,181"
1012,L1,莉莉怀特,"7,44,52,181"
1013,L1,八云蓝,"5,6,68,18,11,58,57,52,181"
1014,L1,橙,"5,6,68,19,11,58,52,69,181"
1015,L1,铃仙·优昙华院·因幡,"5,6,68,20,12,70,52,71,72,58,45,74,54,175,181"
1016,L1,绵月丰姬,"13,28,51,42,57,75,45,181"
1017,L1,绵月依姬,"13,28,51,43,57,75,67,2,45,14,15,181"
1018,L1,八意永琳,"13,28,57,58,29,52,71,72,45,74,30,119,26,181"
1019,L1,蓬莱山辉夜,"13,57,51,29,52,71,72,45,60,159,160,181"
1020,L1,藤原妹红,"1,29,52,71,36,159,181"
1021,L1,清兰,"5,6,68,20,12,32,45,75,175,181"
1022,L1,铃瑚,"5,6,68,20,12,32,45,75,175,181"
1023,L1,铃仙,"5,6,68,20,12,45,75,58,181"
1024,L1,圣白莲,"3,33,76,34,57,52,77,123,124,181"
1025,L1,茨木华扇,"21,5,22,52,69,57,68,26,78,62,123,124,142,181"
1026,L1,本居小铃,"1,52,79,25,23,175,181"
1029,L1,稗田阿求,"1,40,52,79,25,57,60,159,181"
1030,L1,琪露诺,"7,46,83,52,84,54,181"
1031,L1,大妖精,"7,52,49,84,54,181"
1032,L1,爱丽丝·玛格特罗伊德,"3,5,36,52,55,25,56,60,34,54,181"
1033,L1,桑尼米尔克,"7,47,85,52,53,86,54,181"
1034,L1,露娜切露德,"7,45,85,25,52,53,86,54,181"
1035,L1,斯塔萨菲雅,"7,48,85,52,53,86,54,181"
1036,L1,梅蒂欣·梅兰可莉,"36,5,50,74,49,52,87,181"
1037,L1,东风谷早苗,"1,14,37,38,2,52,69,88,54,124,181"
1038,L1,八坂神奈子,"14,15,52,69,88,124,181"
1039,L1,洩矢诹访子,"14,16,52,69,88,89,124,181"
1040,L1,河城荷取,"5,24,90,39,52,69,91,175,181"
1041,L1,森近霖之助,NoData
1042,L1,因幡帝,"20,6,72,71,52,5,57,175,181"
1043,L1,宇佐见堇子,"1,35,82,81,181"
1044,L1,射命丸文,"94,92,5,69,52,142,181"
1045,L1,姬海棠果,"94,92,5,69,52,60,142,181"
1046,L1,犬走椛,"111,92,5,69,52,68,67,181"
1047,L1,坂田合欢,"109,5,2,69,52,181"
1048,L1,伊吹萃香,"22,5,69,52,78,181"
1049,L1,星熊勇仪,"22,5,99,100,52,78,123,181"
1050,L1,古明地觉,"5,98,99,100,101,52,42,57,60,25,181"
1051,L1,古明地恋,"5,98,99,100,101,52,43,181"
1052,L1,火焰猫燐,"5,6,68,19,99,100,101,52,58,137,7,181"
1053,L1,灵乌路空,"5,6,68,99,100,101,52,58,15,14,142,181"
1054,L1,小野塚小町,"115,113,128,129,58,181"
1055,L1,四季映姬·夜摩仙那度,"148,113,128,57,181"
1056,L1,赫卡提亚·拉碧斯拉祖利,"14,118,57,113,181"
1057,L1,纯狐,"15,14,21,118,159,181"
1058,L1,克劳恩皮丝,"7,113,53,52,54,118,58,181"
1059,L1,秋静叶,"96,16,97,42,69,52,124,181"
1060,L1,秋穰子,"96,16,97,43,69,52,124,181"
1061,L1,键山雏,"14,105,69,52,5,36,181"
1062,L1,露娜萨·普莉兹姆利巴,"93,8,52,84,102,42,122,181"
1063,L1,梅露兰·普莉兹姆利巴,"93,8,52,84,102,42,43,122,181"
1064,L1,莉莉卡·普莉兹姆利巴,"93,8,52,84,102,42,43,122,181"
1065,L1,依神女苑,"103,14,105,43,77,52,160,181"
1066,L1,依神紫苑,"104,14,105,42,53,52,181"
1067,L1,九十九弁弁,"23,16,14,102,42,52,181"
1068,L1,九十九八桥,"23,16,14,102,43,52,181"
1069,L1,摩多罗隐岐奈,"14,62,26,57,52,126,159,181"
1070,L1,尔子田里乃,"14,58,52,126,181"
1071,L1,丁礼田舞,"14,58,52,126,181"
