equipment_id,equipment_name,stats,attack_bonus_effects
1,东方归言录,HP+450 / 速度+90,16:8+30% / 16:1+25%
2,飞翔于空中的不可思议巫女,HP+450 / 阳攻+90,16:1+15%
3,普通的魔法使,速度+81 / 阴攻+99,15:2+25%
4,热闹的神社境内,阳攻+98 / 阴防+82,15:1+30%
5,笼中鸟,阳攻+95 / 阴攻+85,16:2+30%
6,她的世界,阳防+88 / 阴攻+92,15:4+15%
10,清廉正直的鸦天狗,HP+425 / 阳防+95,16:9+25%
11,八云家的成员,速度+90 / 阳防+90,16:4+10%
12,西洋炼金术的结晶,阳攻+90 / 阴攻+90,16:7+35% / 16:6+35%
13,不死的激斗,HP+550 / 阳攻+70,15:2+25% / 15:5+25%
14,灵异社团,阳防+76 / 阴防+74,15:11+35% / 15:2+35%
16,没有什么斩不断之物,阴攻+69 / 阴防+81,15:4+20% / 15:3+20%
17,无止境的说教,HP+460 / 阴防+88,15:6+10%
18,奇妙的缘日,速度+81 / 阳防+99,15:8+25%
19,压倒性的火力,HP+450 / 阴攻+90,16:5+15%
20,我所喜爱之物,速度+94 / 阳防+86,16:4+40%
21,闭锁之心,HP+250 / 速度+100,16:7+50% / 16:4+50%
32,门可罗雀,阳攻+78 / 阴防+62,16:9+15%
37,试射,HP+325 / 速度+75,16:4+15%
40,文文。新闻,速度+68 / 阳攻+72,15:1+10%
44,火力的背后,阳攻+70 / 阴攻+70,15:2+20%
46,青蛙帽子,阳攻+70 / 阴防+70,15:6+20%
47,佛同道讲,阳防+64 / 阴防+76,15:3+10%
48,湖上歌姬,HP+350 / 速度+70,16:4+20%
51,可以吃吗？,阴攻+70 / 阴防+70,16:2+20%
53,通行禁止,速度+78 / 阴攻+62,15:4+15%
54,一如往常的赛钱箱,HP+350 / 阴攻+70,16:9+10%
56,嫉妒的怪物,HP+340 / 阴攻+72,16:5+20%
57,雾雨魔法店,阳攻+79 / 阴攻+61,16:8+20%
59,职业探宝人,速度+70 / 阳攻+70,16:6+30%
60,回音不绝,HP+375 / 速度+65,16:7+20%
71,迷你八卦炉,速度+48 / 阳攻+52,16:3+30%
