effect_id,side,kind,sub_id,value,name,description
80,4,1,1,80.0,【敌方】大家体力上升,敌方单位的最大体力上升80% (永久)
81,4,1,2,500.0,【敌方】大家速度上升,敌方单位的速度上升500% (永久)
82,4,1,3,500.0,【敌方】大家阳攻上升,敌方单位的阳攻上升500% (永久)
83,4,1,4,500.0,【敌方】大家阳防上升,敌方单位的阳防上升500% (永久)
84,4,1,5,500.0,【敌方】大家阴攻上升,敌方单位的阴攻上升500% (永久)
85,4,1,6,500.0,【敌方】大家阴防上升,敌方单位的阴防上升500% (永久)
86,4,1,7,500.0,【敌方】大家命中上升,敌方单位的全攻击的命中率上升500% (永久)
87,4,1,8,500.0,【敌方】大家回避上升,敌方单位的全攻击的回避率上升500% (永久)
88,4,2,0,-80.0,【敌方】种族特攻受伤倍率轻减,敌方的种族特攻受伤倍率下降80% (永久)
89,2,3,0,-2.0,【己方】结界最大数减少,己方的结界的最大数减少2枚 (永久)
90,4,1,8,80.0,【敌方】大家基础回避率上升,敌方的基础回避率上升80% (永久)
91,2,4,1,-30.0,【己方】防御式弱化,己方的防御式单位的综合强度下降30% (永久)
92,2,4,2,-30.0,【己方】支援式弱化,己方的支援式单位的综合强度下降30% (永久)
93,2,4,3,-30.0,【己方】回复式弱化,己方的回复式单位的综合强度下降30% (永久)
94,2,4,4,-30.0,【己方】干扰式弱化,己方的干扰式单位的综合强度下降30% (永久)
95,2,4,5,-30.0,【己方】攻击式弱化,己方的攻击式单位的综合强度下降30% (永久)
96,2,4,6,-30.0,【己方】技巧式弱化,己方的技巧式单位的综合强度下降30% (永久)
97,2,4,7,-30.0,【己方】速攻式弱化,己方的速攻式单位的综合强度下降30% (永久)
98,2,4,8,-30.0,【己方】破坏式弱化,己方的破坏式单位的综合强度下降30% (永久)
99,2,5,0,1.0,【己方】击破回数制限,每个单位，每回合只能击破结界1次(永久)
100,2,7,1,0.0,【己方】日属性无法击破,己方日属性无法击破 (永久)
101,2,7,2,0.0,【己方】月属性无法击破,己方月属性无法击破 (永久)
102,2,7,3,0.0,【己方】火属性无法击破,己方火属性无法击破 (永久)
103,2,7,4,0.0,【己方】水属性无法击破,己方水属性无法击破 (永久)
104,2,7,5,0.0,【己方】木属性无法击破,己方木属性无法击破 (永久)
105,2,7,6,0.0,【己方】金属性无法击破,己方金属性无法击破 (永久)
106,2,7,7,0.0,【己方】土属性无法击破,己方土属性无法击破 (永久)
107,2,7,8,0.0,【己方】星属性无法击破,己方星属性无法击破 (永久)
108,2,8,1,0.0,【己方】无法击破结界异常(燃烧),己方无法击破结界异常(燃烧) (永久)
109,2,8,2,0.0,【己方】无法击破结界异常(冻结),己方无法击破结界异常(冻结) (永久)
110,2,8,3,0.0,【己方】无法击破结界异常(感电),己方无法击破结界异常(感电) (永久)
111,2,8,4,0.0,【己方】无法击破结界异常(毒雾),己方无法击破结界异常(毒雾) (永久)
112,2,8,5,0.0,【己方】无法击破结界异常(黑暗),己方无法击破结界异常(黑暗) (永久)
113,2,9,1,-80.0,【己方】日属性子弹威力下降,己方的日属性子弹伤害下降80% (永久)
114,2,9,2,-80.0,【己方】月属性子弹威力下降,己方的月属性子弹伤害下降80% (永久)
115,2,9,3,-80.0,【己方】火属性子弹威力下降,己方的火属性子弹伤害下降80% (永久)
116,2,9,4,-80.0,【己方】水属性子弹威力下降,己方的水属性子弹伤害下降80% (永久)
117,2,9,5,-80.0,【己方】木属性子弹威力下降,己方的木属性子弹伤害下降80% (永久)
118,2,9,6,-80.0,【己方】金属性子弹威力下降,己方的金属性子弹伤害下降80% (永久)
119,2,9,7,-80.0,【己方】土属性子弹威力下降,己方的土属性子弹伤害下降80% (永久)
120,2,9,8,-80.0,【己方】星属性子弹威力下降,己方的星属性子弹伤害下降80% (永久)
121,2,10,1,-80.0,【己方】通常弹威力下降,己方的通常弹伤害下降80% (永久)
122,2,10,2,-80.0,【己方】镭射弹威力下降,己方的镭射弹伤害下降80% (永久)
123,2,10,3,-80.0,【己方】体术弹威力下降,己方的体术弹伤害下降80% (永久)
124,2,10,4,-80.0,【己方】斩击弹威力下降,己方的斩击弹伤害下降80% (永久)
125,2,10,5,-80.0,【己方】动能弹威力下降,己方的动能弹伤害下降80% (永久)
126,2,10,6,-80.0,【己方】流体弹威力下降,己方的流体弹伤害下降80% (永久)
127,2,10,7,-80.0,【己方】能量弹威力下降,己方的能量弹伤害下降80% (永久)
128,2,10,8,-80.0,【己方】御符弹威力下降,己方的御符弹伤害下降80% (永久)
129,2,10,9,-80.0,【己方】光弹威力下降,己方的光弹伤害下降80% (永久)
130,2,10,10,-80.0,【己方】尖头弹威力下降,己方的尖头弹伤害下降80% (永久)
131,2,10,11,-80.0,【己方】追踪弹威力下降,己方的追踪弹伤害下降80% (永久)
132,2,11,0,-50.0,【己方】升格上升状态弱化,己方关乎升格上升状态增益的效果量下降50% (永久)
133,4,11,0,-50.0,【敌方】升格下降状态弱化,敌方关乎升格下降状态减益的效果量下降50% (永久)
134,2,12,0,-50.0,【己方】灵力回收效率下降,己方的灵力回收效率下降100% (永久)
135,2,13,0,-50.0,【己方】灵力增加效果量下降,己方的所有灵力增加效果下降50% (永久)
136,2,14,1,0.0,【己方】能力封印,己方的能力无法发动 (永久)
137,2,14,2,0.0,【己方】特性封印,己方的特性无法发动 (永久)
138,2,16,0,0.0,【己方】仇恨值无效,己方的仇恨值不会变动 (永久)
139,4,9,1,80.0,【敌方】日属性子弹威力上升,敌方的日属性子弹伤害上升80% (永久)
140,4,9,2,80.0,【敌方】月属性子弹威力上升,敌方的月属性子弹伤害上升80% (永久)
141,4,9,3,80.0,【敌方】火属性子弹威力上升,敌方的火属性子弹伤害上升80% (永久)
142,4,9,4,80.0,【敌方】水属性子弹威力上升,敌方的水属性子弹伤害上升80% (永久)
143,4,9,5,80.0,【敌方】木属性子弹威力上升,敌方的木属性子弹伤害上升80% (永久)
144,4,9,6,80.0,【敌方】金属性子弹威力上升,敌方的金属性子弹伤害上升80% (永久)
145,4,9,7,80.0,【敌方】土属性子弹威力上升,敌方的土属性子弹伤害上升80% (永久)
146,4,9,8,80.0,【敌方】星属性子弹威力上升,敌方的星属性子弹伤害上升80% (永久)
147,2,17,1,0.0,【己方】子弹效果封印(必中),己方的子弹追加效果，必中无法发动 (永久)
148,2,17,2,0.0,【己方】子弹效果封印(贯通),己方的子弹追加效果，贯通无法发动 (永久)
149,2,17,3,0.0,【己方】子弹效果封印(镜面),己方的子弹追加效果，镜面无法发动 (永久)
150,2,17,4,0.0,【己方】子弹效果封印(硬质),己方的子弹追加效果，硬质无法发动 (永久)
151,2,17,5,0.0,【己方】子弹效果封印(斩裂),己方的子弹追加效果，斩裂无法发动 (永久)
152,2,17,6,0.0,【己方】子弹效果封印(速射),己方的子弹追加效果，速射无法发动 (永久)
153,2,17,7,0.0,【己方】子弹效果封印(爆破),己方的子弹追加效果，爆破无法发动 (永久)
154,2,17,8,0.0,【己方】子弹效果封印(弹性),己方的子弹追加效果，弹性无法发动 (永久)
155,2,17,9,0.0,【己方】子弹效果封印(精密),己方的子弹追加效果，精密无法发动 (永久)
156,2,17,10,0.0,【己方】子弹效果封印(反冲),己方的子弹追加效果，反冲无法发动 (永久)
157,2,17,11,0.0,【己方】子弹效果封印(吸收),己方的子弹追加效果，吸收无法发动 (永久)
158,2,17,12,0.0,【己方】子弹效果封印(烧却),己方的子弹追加效果，烧却无法发动 (永久)
159,2,17,13,0.0,【己方】子弹效果封印(冰解),己方的子弹追加效果，冰解无法发动 (永久)
160,2,17,14,0.0,【己方】子弹效果封印(放电),己方的子弹追加效果，放电无法发动 (永久)
161,2,17,15,0.0,【己方】子弹效果封印(过毒),己方的子弹追加效果，过毒无法发动 (永久)
162,2,17,16,0.0,【己方】子弹效果封印(闪光),己方的子弹追加效果，闪光无法发动 (永久)
1001011,4,1,1,5.0,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
1001012,2,10,1,-95.0,【己方侧】通常弹威力下降,己方全体通常弹的伤害下降95% (永久)
1001021,4,1,8,10.0,【敌方侧】大家回避上升,敌方全体回避率上升10% (永久)
1001022,2,10,3,-95.0,【己方侧】体术弹威力下降,己方全体体术弹的伤害下降95% (永久)
1001031,4,1,1,5.0,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
1001032,2,10,7,-95.0,【己方侧】能量弹威力下降,己方全体能量弹的伤害下降95% (永久)
1001041,4,1,8,10.0,【敌方侧】大家回避上升,敌方全体回避率上升10% (永久)
1001042,2,10,9,-95.0,【己方侧】光弹威力下降,己方全体光弹的伤害下降95% (永久)
1001051,4,1,1,5.0,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
1001052,2,10,10,-95.0,【己方侧】尖头弹威力下降,己方全体尖头弹的伤害下降95% (永久)
1001061,4,1,8,10.0,【敌方侧】大家回避上升,敌方全体回避率上升10% (永久)
1001062,2,10,11,-95.0,【己方侧】追踪弹威力下降,己方全体追踪弹的伤害下降95% (永久)
1001071,2,4,5,-65.0,【己方侧】攻击式弱化,己方全体攻击式综合强度下降65% (永久)
1001072,4,1,1,5.0,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
1001081,2,4,1,-65.0,【己方侧】防御式弱化,己方全体防御式综合强度下降65% (永久)
1001082,4,1,8,10.0,【敌方侧】大家回避上升,敌方全体回避率上升10% (永久)
1001091,2,4,2,-65.0,【己方侧】支援式弱化,己方全体支援式综合强度下降65% (永久)
1001092,4,1,1,5.0,【敌方侧】大家最大体力上升,敌方全体最大体力上升5% (永久)
1001101,2,12,0,-80.0,【己方侧】灵力回收效率下降,己方全体灵力回收效率下降80% (永久)
1001102,4,2,0,-80.0,【敌方侧】种族特攻受伤倍率轻减,敌方全体对种族特攻受伤倍率轻减下降80% (永久)
1003011,4,1,6,10.0,【敌方侧】大家阴防上升,敌方全体阴防上升10% (永久)
1003012,2,10,10,-95.0,【己方侧】尖头弹威力下降,己方全体尖头弹造成的伤害下降95% (永久)
1003021,4,1,4,10.0,【敌方侧】大家阳防上升,敌方全体阳防上升10% (永久)
1003022,2,10,11,-95.0,【己方侧】追踪弹威力下降,己方全体追踪弹造成的伤害下降95% (永久)
1003031,4,1,6,10.0,【敌方侧】大家阴防上升,敌方全体阴防上升10% (永久)
1003032,2,4,1,-65.0,【己方侧】防御式弱化,己方全体防御式综合强度下降65% (永久)
1003041,4,1,4,10.0,【敌方侧】大家阳防上升,敌方全体阳防上升10% (永久)
